s = "0";
d = "101";
A = {<"0","17",156,177>,
<"0","1",14,15>,
<"1","18",176,191>,
<"1","0",49,49>,
<"1","2",120,126>,
<"2","19",0,1>,
<"2","1",160,168>,
<"2","3",101,106>,
<"3","20",94,96>,
<"3","2",85,86>,
<"3","4",3,3>,
<"4","21",84,84>,
<"4","3",51,51>,
<"4","5",151,152>,
<"5","22",39,46>,
<"5","4",190,191>,
<"5","6",184,195>,
<"6","23",2,2>,
<"6","5",135,137>,
<"6","7",42,43>,
<"7","24",176,181>,
<"7","6",95,97>,
<"7","8",186,190>,
<"8","25",16,17>,
<"8","7",33,34>,
<"8","9",131,134>,
<"9","26",133,151>,
<"9","8",62,70>,
<"9","10",120,125>,
<"10","27",160,166>,
<"10","9",36,37>,
<"10","11",124,129>,
<"11","28",138,165>,
<"11","10",122,122>,
<"11","12",42,42>,
<"12","29",90,100>,
<"12","11",166,174>,
<"12","13",181,193>,
<"13","30",102,102>,
<"13","12",63,64>,
<"13","14",71,73>,
<"14","31",11,12>,
<"14","13",178,188>,
<"14","15",15,16>,
<"15","32",65,67>,
<"15","14",111,124>,
<"15","16",3,4>,
<"16","33",6,7>,
<"16","15",179,184>,
<"17","0",209,213>,
<"17","34",118,122>,
<"17","18",56,56>,
<"18","1",112,114>,
<"18","35",64,69>,
<"18","17",38,42>,
<"18","19",71,72>,
<"19","2",123,135>,
<"19","36",58,59>,
<"19","18",23,23>,
<"19","20",140,152>,
<"20","3",92,93>,
<"20","37",21,21>,
<"20","19",174,185>,
<"20","21",26,28>,
<"21","4",158,190>,
<"21","38",76,82>,
<"21","20",180,182>,
<"21","22",183,185>,
<"22","5",133,133>,
<"22","39",46,50>,
<"22","21",157,160>,
<"22","23",86,92>,
<"23","6",67,68>,
<"23","40",62,64>,
<"23","22",38,38>,
<"23","24",4,5>,
<"24","7",83,90>,
<"24","41",39,45>,
<"24","23",63,73>,
<"24","25",105,105>,
<"25","8",163,181>,
<"25","42",162,162>,
<"25","24",86,90>,
<"25","26",43,47>,
<"26","9",133,138>,
<"26","43",144,144>,
<"26","25",74,79>,
<"26","27",132,135>,
<"27","10",109,117>,
<"27","44",175,175>,
<"27","26",139,150>,
<"27","28",184,197>,
<"28","11",83,87>,
<"28","45",120,121>,
<"28","27",169,183>,
<"28","29",59,62>,
<"29","12",61,66>,
<"29","46",14,14>,
<"29","28",143,147>,
<"29","30",127,130>,
<"30","13",177,180>,
<"30","47",4,4>,
<"30","29",22,22>,
<"30","31",33,37>,
<"31","14",154,173>,
<"31","48",74,81>,
<"31","30",1,1>,
<"31","32",155,172>,
<"32","15",198,206>,
<"32","49",34,35>,
<"32","31",70,72>,
<"32","33",89,90>,
<"33","16",120,120>,
<"33","50",47,53>,
<"33","32",130,152>,
<"34","17",63,64>,
<"34","51",93,103>,
<"34","35",79,79>,
<"35","18",138,138>,
<"35","52",126,129>,
<"35","34",25,25>,
<"35","36",153,153>,
<"36","19",47,47>,
<"36","53",165,178>,
<"36","35",13,15>,
<"36","37",115,118>,
<"37","20",128,133>,
<"37","54",90,97>,
<"37","36",155,156>,
<"37","38",1,2>,
<"38","21",138,141>,
<"38","55",161,161>,
<"38","37",125,128>,
<"38","39",150,150>,
<"39","22",131,153>,
<"39","56",95,101>,
<"39","38",204,210>,
<"39","40",52,52>,
<"40","23",158,164>,
<"40","57",77,83>,
<"40","39",83,84>,
<"40","41",171,192>,
<"41","24",73,75>,
<"41","58",151,153>,
<"41","40",150,153>,
<"41","42",96,103>,
<"42","25",170,186>,
<"42","59",167,167>,
<"42","41",167,170>,
<"42","43",12,12>,
<"43","26",8,8>,
<"43","60",19,20>,
<"43","42",171,172>,
<"43","44",11,11>,
<"44","27",159,170>,
<"44","61",129,151>,
<"44","43",73,73>,
<"44","45",53,57>,
<"45","28",141,143>,
<"45","62",7,7>,
<"45","44",18,18>,
<"45","46",61,63>,
<"46","29",187,187>,
<"46","63",183,199>,
<"46","45",48,48>,
<"46","47",59,59>,
<"47","30",106,121>,
<"47","64",125,136>,
<"47","46",26,27>,
<"47","48",180,180>,
<"48","31",197,199>,
<"48","65",10,10>,
<"48","47",78,78>,
<"48","49",185,187>,
<"49","32",83,84>,
<"49","66",109,114>,
<"49","48",89,101>,
<"49","50",184,205>,
<"50","33",10,10>,
<"50","67",16,16>,
<"50","49",14,14>,
<"51","34",126,134>,
<"51","68",53,56>,
<"51","52",91,91>,
<"52","35",6,6>,
<"52","69",11,11>,
<"52","51",43,49>,
<"52","53",141,149>,
<"53","36",81,95>,
<"53","70",85,87>,
<"53","52",91,92>,
<"53","54",181,183>,
<"54","37",132,135>,
<"54","71",8,8>,
<"54","53",28,29>,
<"54","55",130,130>,
<"55","38",11,12>,
<"55","72",159,163>,
<"55","54",145,150>,
<"55","56",91,111>,
<"56","39",198,198>,
<"56","73",113,125>,
<"56","55",120,124>,
<"56","57",26,27>,
<"57","40",74,78>,
<"57","74",78,78>,
<"57","56",160,164>,
<"57","58",193,195>,
<"58","41",105,111>,
<"58","75",117,123>,
<"58","57",35,36>,
<"58","59",26,26>,
<"59","42",19,20>,
<"59","76",180,180>,
<"59","58",8,8>,
<"59","60",106,106>,
<"60","43",4,4>,
<"60","77",16,16>,
<"60","59",163,165>,
<"60","61",134,138>,
<"61","44",40,47>,
<"61","78",23,25>,
<"61","60",160,192>,
<"61","62",92,98>,
<"62","45",27,28>,
<"62","79",150,171>,
<"62","61",27,30>,
<"62","63",54,54>,
<"63","46",119,119>,
<"63","80",131,145>,
<"63","62",103,103>,
<"63","64",25,26>,
<"64","47",105,110>,
<"64","81",184,207>,
<"64","63",125,131>,
<"64","65",109,125>,
<"65","48",52,52>,
<"65","82",75,80>,
<"65","64",133,145>,
<"65","66",119,119>,
<"66","49",121,135>,
<"66","83",192,192>,
<"66","65",71,71>,
<"66","67",187,190>,
<"67","50",66,69>,
<"67","84",99,113>,
<"67","66",170,172>,
<"68","51",5,6>,
<"68","85",74,82>,
<"68","69",69,69>,
<"69","52",102,104>,
<"69","86",111,116>,
<"69","68",52,52>,
<"69","70",125,128>,
<"70","53",92,93>,
<"70","87",123,125>,
<"70","69",163,164>,
<"70","71",28,28>,
<"71","54",205,207>,
<"71","88",77,78>,
<"71","70",49,49>,
<"71","72",173,195>,
<"72","55",103,110>,
<"72","89",83,85>,
<"72","71",134,144>,
<"72","73",109,128>,
<"73","56",165,181>,
<"73","90",12,12>,
<"73","72",164,166>,
<"73","74",18,18>,
<"74","57",99,100>,
<"74","91",18,18>,
<"74","73",164,164>,
<"74","75",79,95>,
<"75","58",87,87>,
<"75","92",129,132>,
<"75","74",64,65>,
<"75","76",114,114>,
<"76","59",128,128>,
<"76","93",145,147>,
<"76","75",40,40>,
<"76","77",164,185>,
<"77","60",141,163>,
<"77","94",180,191>,
<"77","76",134,149>,
<"77","78",111,123>,
<"78","61",22,23>,
<"78","95",207,207>,
<"78","77",97,102>,
<"78","79",115,118>,
<"79","62",214,214>,
<"79","96",36,36>,
<"79","78",18,18>,
<"79","80",186,188>,
<"80","63",91,93>,
<"80","97",132,145>,
<"80","79",144,146>,
<"80","81",132,146>,
<"81","64",139,148>,
<"81","98",146,153>,
<"81","80",151,151>,
<"81","82",167,174>,
<"82","65",173,181>,
<"82","99",136,143>,
<"82","81",144,145>,
<"82","83",55,55>,
<"83","66",150,155>,
<"83","100",82,88>,
<"83","82",34,34>,
<"83","84",26,29>,
<"84","67",3,3>,
<"84","101",214,218>,
<"84","83",144,144>,
<"85","68",145,152>,
<"85","86",8,8>,
<"86","69",8,9>,
<"86","85",163,198>,
<"86","87",141,152>,
<"87","70",13,14>,
<"87","86",152,166>,
<"87","88",48,49>,
<"88","71",149,153>,
<"88","87",191,191>,
<"88","89",7,8>,
<"89","72",82,83>,
<"89","88",89,91>,
<"89","90",124,128>,
<"90","73",78,78>,
<"90","89",82,84>,
<"90","91",80,80>,
<"91","74",115,115>,
<"91","90",67,67>,
<"91","92",187,193>,
<"92","75",23,24>,
<"92","91",53,59>,
<"92","93",62,65>,
<"93","76",96,106>,
<"93","92",168,184>,
<"93","94",83,83>,
<"94","77",130,133>,
<"94","93",140,154>,
<"94","95",37,37>,
<"95","78",19,20>,
<"95","94",185,185>,
<"95","96",40,40>,
<"96","79",176,176>,
<"96","95",55,58>,
<"96","97",153,153>,
<"97","80",56,56>,
<"97","96",54,58>,
<"97","98",163,185>,
<"98","81",11,11>,
<"98","97",115,127>,
<"98","99",157,179>,
<"99","82",29,29>,
<"99","98",121,123>,
<"99","100",153,155>,
<"100","83",182,184>,
<"100","99",49,50>,
<"100","101",181,195>,
<"101","84",13,13>,
<"101","100",105,116>};
L = 1294;
U = 1367;
