s = "0";
d = "809";
A = {<"0","90",127,137>,
<"0","1",162,218>,
<"1","91",18,23>,
<"1","0",4,14>,
<"1","2",161,183>,
<"2","92",260,272>,
<"2","1",152,181>,
<"2","3",33,45>,
<"3","93",160,208>,
<"3","2",69,79>,
<"3","4",22,34>,
<"4","94",56,142>,
<"4","3",103,103>,
<"4","5",27,251>,
<"5","95",86,90>,
<"5","4",285,292>,
<"5","6",66,99>,
<"6","96",170,201>,
<"6","5",107,277>,
<"6","7",7,13>,
<"7","97",39,64>,
<"7","6",32,33>,
<"7","8",168,185>,
<"8","98",88,113>,
<"8","7",88,159>,
<"8","9",336,343>,
<"9","99",4,8>,
<"9","8",17,56>,
<"9","10",22,28>,
<"10","100",214,218>,
<"10","9",20,150>,
<"10","11",43,176>,
<"11","101",9,10>,
<"11","10",15,150>,
<"11","12",174,178>,
<"12","102",9,42>,
<"12","11",27,72>,
<"12","13",176,219>,
<"13","103",6,21>,
<"13","12",17,21>,
<"13","14",127,301>,
<"14","104",76,108>,
<"14","13",119,141>,
<"14","15",4,18>,
<"15","105",86,122>,
<"15","14",117,143>,
<"15","16",325,355>,
<"16","106",302,312>,
<"16","15",67,211>,
<"16","17",292,297>,
<"17","107",50,180>,
<"17","16",54,196>,
<"17","18",97,125>,
<"18","108",11,65>,
<"18","17",85,220>,
<"18","19",24,40>,
<"19","109",4,21>,
<"19","18",36,144>,
<"19","20",83,93>,
<"20","110",243,302>,
<"20","19",4,4>,
<"20","21",264,296>,
<"21","111",11,36>,
<"21","20",91,115>,
<"21","22",18,107>,
<"22","112",35,87>,
<"22","21",33,143>,
<"22","23",57,121>,
<"23","113",20,25>,
<"23","22",282,338>,
<"23","24",42,84>,
<"24","114",31,259>,
<"24","23",33,45>,
<"24","25",36,169>,
<"25","115",259,356>,
<"25","24",55,360>,
<"25","26",163,166>,
<"26","116",27,72>,
<"26","25",2,5>,
<"26","27",198,208>,
<"27","117",1,13>,
<"27","26",357,360>,
<"27","28",62,75>,
<"28","118",165,221>,
<"28","27",62,125>,
<"28","29",190,249>,
<"29","119",100,103>,
<"29","28",262,270>,
<"29","30",69,69>,
<"30","120",75,131>,
<"30","29",41,57>,
<"30","31",15,16>,
<"31","121",266,291>,
<"31","30",44,137>,
<"31","32",295,316>,
<"32","122",14,47>,
<"32","31",111,156>,
<"32","33",61,73>,
<"33","123",8,93>,
<"33","32",196,285>,
<"33","34",59,358>,
<"34","124",368,368>,
<"34","33",71,96>,
<"34","35",160,171>,
<"35","125",116,119>,
<"35","34",100,125>,
<"35","36",244,330>,
<"36","126",217,244>,
<"36","35",117,281>,
<"36","37",136,264>,
<"37","127",233,240>,
<"37","36",14,14>,
<"37","38",171,292>,
<"38","128",17,26>,
<"38","37",118,133>,
<"38","39",103,123>,
<"39","129",40,46>,
<"39","38",243,243>,
<"39","40",152,185>,
<"40","130",198,344>,
<"40","39",13,231>,
<"40","41",31,64>,
<"41","131",39,61>,
<"41","40",77,105>,
<"41","42",149,214>,
<"42","132",259,355>,
<"42","41",49,100>,
<"42","43",276,286>,
<"43","133",126,131>,
<"43","42",10,148>,
<"43","44",17,171>,
<"44","134",10,43>,
<"44","43",147,157>,
<"44","45",144,150>,
<"45","135",9,23>,
<"45","44",4,9>,
<"45","46",26,240>,
<"46","136",0,1>,
<"46","45",101,109>,
<"46","47",17,30>,
<"47","137",54,157>,
<"47","46",90,197>,
<"47","48",50,78>,
<"48","138",17,113>,
<"48","47",84,124>,
<"48","49",40,40>,
<"49","139",0,1>,
<"49","48",71,78>,
<"49","50",66,161>,
<"50","140",143,190>,
<"50","49",212,228>,
<"50","51",14,32>,
<"51","141",225,225>,
<"51","50",128,342>,
<"51","52",111,129>,
<"52","142",358,362>,
<"52","51",194,196>,
<"52","53",73,81>,
<"53","143",78,159>,
<"53","52",327,336>,
<"53","54",78,168>,
<"54","144",9,18>,
<"54","53",138,164>,
<"54","55",2,6>,
<"55","145",183,253>,
<"55","54",172,270>,
<"55","56",223,353>,
<"56","146",55,89>,
<"56","55",116,359>,
<"56","57",9,38>,
<"57","147",298,298>,
<"57","56",9,66>,
<"57","58",60,215>,
<"58","148",161,200>,
<"58","57",276,295>,
<"58","59",84,260>,
<"59","149",31,31>,
<"59","58",74,245>,
<"59","60",329,329>,
<"60","150",260,292>,
<"60","59",4,25>,
<"60","61",168,222>,
<"61","151",34,94>,
<"61","60",176,224>,
<"61","62",173,176>,
<"62","152",91,96>,
<"62","61",103,214>,
<"62","63",50,52>,
<"63","153",301,301>,
<"63","62",36,37>,
<"63","64",12,83>,
<"64","154",22,72>,
<"64","63",212,218>,
<"64","65",64,91>,
<"65","155",25,67>,
<"65","64",142,206>,
<"65","66",278,293>,
<"66","156",150,245>,
<"66","65",136,159>,
