s = "0";
d = "101";
A = {<"0","1",93,102>,
<"0","2",113,128>,
<"0","3",108,110>,
<"0","4",73,74>,
<"0","5",66,69>,
<"0","6",196,196>,
<"0","7",109,110>,
<"0","8",60,60>,
<"0","9",192,196>,
<"0","10",55,57>,
<"0","11",192,192>,
<"0","12",104,125>,
<"0","13",124,127>,
<"0","14",48,52>,
<"0","15",155,156>,
<"0","16",108,109>,
<"0","17",72,75>,
<"0","18",70,74>,
<"0","19",28,31>,
<"0","20",165,180>,
<"0","21",181,190>,
<"0","22",189,199>,
<"0","23",31,32>,
<"0","24",111,127>,
<"0","25",151,161>,
<"1","26",123,141>,
<"1","27",73,81>,
<"1","28",40,43>,
<"1","29",187,206>,
<"1","30",67,71>,
<"1","31",77,86>,
<"1","32",19,20>,
<"1","33",63,63>,
<"1","34",7,7>,
<"1","35",126,139>,
<"1","36",68,72>,
<"1","37",75,80>,
<"1","38",17,20>,
<"1","39",5,5>,
<"1","40",120,124>,
<"1","41",135,146>,
<"1","42",155,164>,
<"1","43",130,136>,
<"1","44",111,123>,
<"1","45",4,4>,
<"1","46",36,43>,
<"1","47",141,141>,
<"1","48",144,144>,
<"1","49",170,170>,
<"1","50",119,120>,
<"2","26",179,185>,
<"2","27",165,176>,
<"2","28",7,8>,
<"2","29",163,163>,
<"2","30",53,56>,
<"2","31",112,112>,
<"2","32",111,115>,
<"2","33",11,11>,
<"2","34",198,204>,
<"2","35",143,166>,
<"2","36",77,81>,
<"2","37",142,144>,
<"2","38",100,109>,
<"2","39",108,109>,
<"2","40",33,33>,
<"2","41",184,195>,
<"2","42",87,89>,
<"2","43",144,147>,
<"2","44",158,169>,
<"2","45",156,160>,
<"2","46",199,209>,
<"2","47",208,208>,
<"2","48",71,78>,
<"2","49",125,125>,
<"2","50",109,109>,
<"3","26",163,181>,
<"3","27",88,106>,
<"3","28",49,53>,
<"3","29",176,181>,
<"3","30",182,191>,
<"3","31",188,213>,
<"3","32",164,166>,
<"3","33",28,28>,
<"3","34",25,27>,
<"3","35",82,87>,
<"3","36",179,208>,
<"3","37",73,78>,
<"3","38",0,1>,
<"3","39",124,129>,
<"3","40",194,194>,
<"3","41",140,146>,
<"3","42",109,109>,
<"3","43",105,105>,
<"3","44",6,6>,
<"3","45",178,194>,
<"3","46",156,163>,
<"3","47",155,155>,
<"3","48",2,2>,
<"3","49",92,93>,
<"3","50",70,81>,
