s = "0";
d = "201";
A = {<"0","1",141,152>,
<"0","2",60,66>,
<"1","3",8,32>,
<"1","4",23,70>,
<"2","3",34,47>,
<"2","4",35,154>,
<"3","5",2,7>,
<"3","6",63,178>,
<"4","5",38,103>,
<"4","6",17,64>,
<"5","7",40,77>,
<"5","8",26,26>,
<"6","7",36,143>,
<"6","8",33,38>,
<"7","9",12,38>,
<"7","10",4,16>,
<"8","9",5,8>,
<"8","10",68,93>,
<"9","11",45,45>,
<"9","12",52,104>,
<"10","11",53,60>,
<"10","12",18,22>,
<"11","13",66,170>,
<"11","14",32,55>,
<"12","13",29,46>,
<"12","14",2,8>,
<"13","15",46,174>,
<"13","16",20,33>,
<"14","15",20,94>,
<"14","16",13,62>,
<"15","17",54,85>,
<"15","18",58,85>,
<"16","17",38,121>,
<"16","18",19,59>,
<"17","19",42,91>,
<"17","20",46,74>,
<"18","19",57,102>,
<"18","20",47,134>,
<"19","21",20,22>,
<"19","22",60,181>,
<"20","21",20,70>,
<"20","22",18,48>,
<"21","23",9,15>,
<"21","24",53,79>,
<"22","23",31,34>,
<"22","24",59,139>,
<"23","25",49,203>,
<"23","26",38,199>,
<"24","25",58,137>,
<"24","26",41,71>,
<"25","27",50,148>,
<"25","28",1,3>,
<"26","27",31,110>,
<"26","28",30,84>,
<"27","29",71,181>,
<"27","30",5,7>,
<"28","29",33,59>,
<"28","30",13,32>,
<"29","31",64,82>,
<"29","32",0,2>,
<"30","31",25,116>,
<"30","32",11,25>,
<"31","33",37,111>,
<"31","34",30,106>,
<"32","33",5,7>,
<"32","34",48,71>,
<"33","35",31,77>,
<"33","36",57,124>,
<"34","35",14,24>,
<"34","36",9,21>,
<"35","37",5,15>,
<"35","38",29,107>,
<"36","37",4,10>,
<"36","38",7,14>,
<"37","39",43,76>,
<"37","40",58,140>,
<"38","39",35,99>,
<"38","40",34,66>,
<"39","41",48,63>,
<"39","42",49,146>,
<"40","41",12,31>,
<"40","42",18,99>,
<"41","43",33,101>,
<"41","44",16,35>,
<"42","43",1,3>,
<"42","44",21,74>,
<"43","45",29,43>,
<"43","46",2,8>,
<"44","45",37,61>,
<"44","46",27,71>,
<"45","47",8,19>,
<"45","48",8,13>,
<"46","47",14,52>,
<"46","48",55,156>,
<"47","49",24,35>,
<"47","50",4,9>,
<"48","49",35,35>,
<"48","50",27,48>,
<"49","51",70,114>,
<"49","52",43,78>,
<"50","51",23,86>,
<"50","52",49,144>,
<"51","53",58,129>,
<"51","54",18,31>,
<"52","53",20,100>,
<"52","54",37,56>,
<"53","55",29,83>,
<"53","56",31,82>,
<"54","55",19,53>,
<"54","56",33,96>,
<"55","57",2,13>,
<"55","58",45,106>,
<"56","57",0,1>,
<"56","58",65,185>,
<"57","59",36,57>,
<"57","60",21,38>,
<"58","59",57,76>,
<"58","60",51,100>,
<"59","61",15,38>,
<"59","62",17,48>,
<"60","61",54,129>,
<"60","62",11,34>,
<"61","63",11,43>,
<"61","64",0,1>,
<"62","63",20,28>,
<"62","64",43,46>,
<"63","65",58,86>,
<"63","66",23,60>,
<"64","65",48,108>,
<"64","66",71,117>,
<"65","67",2,3>,
<"65","68",53,78>,
<"66","67",48,81>,
<"66","68",27,124>,
<"67","69",20,30>,
<"67","70",1,3>,
<"68","69",23,78>,
<"68","70",30,71>,
<"69","71",10,21>,
<"69","72",0,0>,
<"70","71",34,45>,
<"70","72",63,174>,
<"71","73",57,159>,
<"71","74",6,27>,
<"72","73",41,131>,
<"72","74",30,45>,
<"73","75",49,104>,
<"73","76",36,67>,
<"74","75",10,44>,
<"74","76",51,62>,
<"75","77",18,23>,
<"75","78",52,148>,
<"76","77",12,20>,
<"76","78",30,68>,
<"77","79",68,174>,
<"77","80",21,35>,
<"78","79",73,200>,
<"78","80",7,19>,
<"79","81",34,58>,
<"79","82",7,23>,
<"80","81",21,70>,
<"80","82",58,117>,
<"81","83",51,193>,
<"81","84",0,0>,
<"82","83",47,107>,
<"82","84",28,99>,
<"83","85",0,2>,
<"83","86",67,168>,
